SN,Commodity,Date,Unit,Minimum,Maximum,Average
521,Cauli Local,6/26/13,Kg,18,22,20
522,Raddish Red,6/26/13,Kg,35,40,37.5
523,Raddish White(Local),6/26/13,Kg,20,25,22.5
524,Brinjal Long,6/26/13,Kg,30,35,32.5
525,Cow pea(Long),6/26/13,Kg,30,35,32.5
526,Green Peas,6/26/13,Kg,55,60,57.5
527,French Bean(Local),6/26/13,Kg,35,40,37.5
528,Soyabean Green,6/26/13,Kg,45,50,47.5
529,Bitter Gourd,6/26/13,Kg,20,30,25
530,Bottle Gourd,6/26/13,Kg,30,32,31
531,Pointed Gourd(Local),6/26/13,Kg,35,40,37.5
532,Snake Gourd,6/26/13,Kg,30,35,32.5
533,Smooth Gourd,6/26/13,Kg,20,25,22.5
534,Sponge Gourd,6/26/13,Kg,45,50,47.5
535,Pumpkin,6/26/13,Kg,16,20,18
536,Squash(Long),6/26/13,Kg,20,25,22.5
537,Turnip,6/26/13,Kg,45,50,47.5
538,Okara,6/26/13,Kg,35,40,37.5
539,Arum,6/26/13,Kg,30,35,32.5
540,Christophine,6/26/13,Kg,35,40,37.5
541,Brd Leaf Mustard,6/26/13,Kg,40,45,42.5
542,Spinach Leaf,6/26/13,Kg,45,50,47.5
543,Cress Leaf,6/26/13,Kg,45,50,47.5
544,Mustard Leaf,6/26/13,Kg,35,40,37.5
545,Fenugreek Leaf,6/26/13,Kg,45,50,47.5
546,Onion Green,6/26/13,Kg,35,40,37.5
547,Mushroom(Kanya),6/26/13,Kg,150,160,155
548,Asparagus,6/26/13,Kg,100,130,115
549,Neuro,6/26/13,Kg,40,50,45
550,Brocauli,6/26/13,Kg,70,80,75
551,Sugarbeet,6/26/13,Kg,35,40,37.5
552,Red Cabbbage,6/26/13,Kg,70,80,75
553,Lettuce,6/26/13,Kg,40,50,45
554,Celery,6/26/13,Kg,120,130,125
555,Parseley,6/26/13,Kg,170,180,175
556,Fennel Leaf,6/26/13,Kg,45,50,47.5
557,Mint,6/26/13,Kg,120,130,125
558,Turnip A,6/26/13,Kg,45,50,47.5
559,Tamarind,6/26/13,Kg,65,70,67.5
560,Bamboo Shoot,6/26/13,Kg,50,60,55
561,Tofu,6/26/13,Kg,55,60,57.5
562,Gundruk,6/26/13,Kg,180,190,185
563,Apple(Jholey),6/26/13,Kg,110,130,120
564,Banana,6/26/13,Doz,60,70,65
565,Lime,6/26/13,Kg,200,400,300
566,Pomegranate,6/26/13,Kg,220,240,230
567,Mango(Maldah),6/26/13,Kg,50,60,55
568,Grapes(Green),6/26/13,Kg,250,260,255
569,Water Melon(Green),6/26/13,Kg,15,18,16.5
570,Sweet Orange,6/26/13,Kg,90,100,95
571,Pineapple,6/26/13,1 Pc,60,70,65
572,Cucumber(Local),6/26/13,Kg,30,35,32.5
573,Jack Fruit,6/26/13,Kg,20,25,22.5
574,Papaya(Nepali),6/26/13,Kg,50,60,55
575,Sugarcane,6/26/13,1 Pc,50,60,55
576,Ginger,6/26/13,Kg,130,140,135
577,Chilli Dry,6/26/13,Kg,170,180,175
578,Chilli Green,6/26/13,Kg,25,30,27.5
579,Capsicum,6/26/13,Kg,90,100,95
580,Garlic Green,6/26/13,Kg,45,50,47.5
581,Coriander Green,6/26/13,Kg,40,50,45
582,Garlic Dry Chinese,6/26/13,Kg,95,100,97.5
583,Garlic Dry Nepali,6/26/13,Kg,50,60,55
584,Clive Dry,6/26/13,Kg,70,80,75
585,Clive Green,6/26/13,Kg,50,60,55
586,Fish Fresh,6/26/13,Kg,210,220,215
587,Tomato Big(Nepali),6/27/13,Kg,30,35,32.5
588,Tomato Small(Local),6/27/13,Kg,18,24,21
589,Potato Red,6/27/13,Kg,22,24,23
590,Potato White,6/27/13,Kg,19,20,19.5
591,Onion Dry (Indian),6/27/13,Kg,35,37,36
592,Carrot(Local),6/27/13,Kg,40,42,41
593,Cabbage(Local),6/27/13,Kg,10,14,12
594,Cauli Local,6/27/13,Kg,25,30,27.5
595,Raddish Red,6/27/13,Kg,35,40,37.5
596,Raddish White(Local),6/27/13,Kg,20,25,22.5
597,Brinjal Long,6/27/13,Kg,35,40,37.5
598,Brinjal Round,6/27/13,Kg,35,40,37.5
599,Cow pea(Long),6/27/13,Kg,35,40,37.5
600,French Bean(Local),6/27/13,Kg,38,42,40
601,Soyabean Green,6/27/13,Kg,45,50,47.5
602,Bitter Gourd,6/27/13,Kg,25,30,27.5
603,Bottle Gourd,6/27/13,Kg,28,32,30
604,Pointed Gourd(Local),6/27/13,Kg,35,40,37.5
605,Snake Gourd,6/27/13,Kg,35,40,37.5
606,Smooth Gourd,6/27/13,Kg,20,25,22.5
607,Sponge Gourd,6/27/13,Kg,4,45,24.5
608,Pumpkin,6/27/13,Kg,16,18,17
609,Squash(Long),6/27/13,Kg,20,24,22
610,Turnip,6/27/13,Kg,25,30,27.5
611,Okara,6/27/13,Kg,35,40,37.5
612,Arum,6/27/13,Kg,35,40,37.5
613,Christophine,6/27/13,Kg,38,40,39
614,Brd Leaf Mustard,6/27/13,Kg,35,40,37.5
615,Spinach Leaf,6/27/13,Kg,40,45,42.5
616,Cress Leaf,6/27/13,Kg,40,45,42.5
617,Mustard Leaf,6/27/13,Kg,35,40,37.5
618,Fenugreek Leaf,6/27/13,Kg,40,45,42.5
619,Onion Green,6/27/13,Kg,40,45,42.5
620,Mushroom(Kanya),6/27/13,Kg,170,180,175
621,Asparagus,6/27/13,Kg,100,125,112.5
622,Neuro,6/27/13,Kg,50,60,55
623,Sugarbeet,6/27/13,Kg,35,40,37.5
624,Red Cabbbage,6/27/13,Kg,70,80,75
625,Lettuce,6/27/13,Kg,45,50,47.5
626,Celery,6/27/13,Kg,120,130,125
627,Parseley,6/27/13,Kg,170,180,175
628,Fennel Leaf,6/27/13,Kg,45,50,47.5
629,Mint,6/27/13,Kg,120,130,125
630,Turnip A,6/27/13,Kg,40,45,42.5
631,Tamarind,6/27/13,Kg,65,70,67.5
632,Bamboo Shoot,6/27/13,Kg,50,60,55
633,Tofu,6/27/13,Kg,55,60,57.5
634,Gundruk,6/27/13,Kg,180,190,185
635,Apple(Jholey),6/27/13,Kg,110,120,115
636,Banana,6/27/13,Doz,50,60,55
637,Lime,6/27/13,Kg,200,400,300
638,Pomegranate,6/27/13,Kg,220,240,230
639,Mango(Maldah),6/27/13,Kg,50,60,55
640,Grapes(Green),6/27/13,Kg,250,260,255
641,Water Melon(Green),6/27/13,Kg,18,20,19
642,Sweet Orange,6/27/13,Kg,90,100,95
643,Pineapple,6/27/13,1 Pc,60,70,65
644,Cucumber(Local),6/27/13,Kg,30,35,32.5
645,Jack Fruit,6/27/13,Kg,18,20,19
646,Papaya(Nepali),6/27/13,Kg,55,60,57.5
647,Sugarcane,6/27/13,1 Pc,50,60,55
648,Ginger,6/27/13,Kg,130,140,135
649,Chilli Dry,6/27/13,Kg,170,180,175
650,Chilli Green,6/27/13,Kg,25,30,27.5
651,Capsicum,6/27/13,Kg,90,100,95
652,Garlic Green,6/27/13,Kg,45,50,47.5
653,Coriander Green,6/27/13,Kg,30,40,35
654,Garlic Dry Chinese,6/27/13,Kg,90,100,95
655,Garlic Dry Nepali,6/27/13,Kg,50,60,55
656,Clive Dry,6/27/13,Kg,70,80,75
657,Clive Green,6/27/13,Kg,50,60,55
658,Fish Fresh,6/27/13,Kg,210,220,215
659,Tomato Big(Nepali),6/28/13,Kg,30,35,32.5
660,Tomato Small(Local),6/28/13,Kg,24,28,26
661,Potato Red,6/28/13,Kg,23,24,23.5
662,Potato White,6/28/13,Kg,19,20,19.5
663,Onion Dry (Indian),6/28/13,Kg,36,38,37
664,Carrot(Local),6/28/13,Kg,40,42,41
665,Cabbage(Local),6/28/13,Kg,10,14,12
666,Cauli Local,6/28/13,Kg,25,30,27.5
667,Raddish Red,6/28/13,Kg,35,40,37.5
668,Raddish White(Local),6/28/13,Kg,25,30,27.5
669,Brinjal Long,6/28/13,Kg,35,40,37.5
670,Cow pea(Long),6/28/13,Kg,40,50,45
671,French Bean(Local),6/28/13,Kg,35,40,37.5
672,Soyabean Green,6/28/13,Kg,40,45,42.5
673,Bitter Gourd,6/28/13,Kg,25,30,27.5
674,Bottle Gourd,6/28/13,Kg,25,30,27.5
675,Pointed Gourd(Local),6/28/13,Kg,35,40,37.5
676,Snake Gourd,6/28/13,Kg,28,32,30
677,Smooth Gourd,6/28/13,Kg,25,30,27.5
678,Sponge Gourd,6/28/13,Kg,40,45,42.5
679,Pumpkin,6/28/13,Kg,16,20,18
680,Squash(Long),6/28/13,Kg,18,22,20
681,Okara,6/28/13,Kg,35,40,37.5
682,Arum,6/28/13,Kg,35,40,37.5
683,Christophine,6/28/13,Kg,35,40,37.5
684,Brd Leaf Mustard,6/28/13,Kg,35,40,37.5
685,Spinach Leaf,6/28/13,Kg,40,45,42.5
686,Cress Leaf,6/28/13,Kg,40,45,42.5
687,Mustard Leaf,6/28/13,Kg,35,40,37.5
688,Fenugreek Leaf,6/28/13,Kg,40,45,42.5
689,Onion Green,6/28/13,Kg,35,40,37.5
690,Mushroom(Kanya),6/28/13,Kg,150,170,160
691,Asparagus,6/28/13,Kg,100,125,112.5
692,Neuro,6/28/13,Kg,50,60,55
693,Sugarbeet,6/28/13,Kg,35,40,37.5
694,Red Cabbbage,6/28/13,Kg,70,80,75
695,Lettuce,6/28/13,Kg,45,50,47.5
696,Celery,6/28/13,Kg,120,130,125
697,Parseley,6/28/13,Kg,170,180,175
698,Fennel Leaf,6/28/13,Kg,45,50,47.5
699,Mint,6/28/13,Kg,120,130,125
700,Turnip A,6/28/13,Kg,45,50,47.5
701,Tamarind,6/28/13,Kg,65,70,67.5
702,Bamboo Shoot,6/28/13,Kg,60,70,65
703,Tofu,6/28/13,Kg,55,60,57.5
704,Gundruk,6/28/13,Kg,180,190,185
705,Apple(Jholey),6/28/13,Kg,110,120,115
706,Banana,6/28/13,Doz,50,60,55
707,Lime,6/28/13,Kg,200,400,300
708,Pomegranate,6/28/13,Kg,220,240,230
709,Mango(Maldah),6/28/13,Kg,50,60,55
710,Grapes(Green),6/28/13,Kg,250,260,255
711,Water Melon(Green),6/28/13,Kg,18,20,19
712,Sweet Orange,6/28/13,Kg,90,100,95
713,Pineapple,6/28/13,1 Pc,60,70,65
714,Cucumber(Local),6/28/13,Kg,30,35,32.5
715,Jack Fruit,6/28/13,Kg,18,20,19
716,Papaya(Nepali),6/28/13,Kg,50,60,55
717,Sugarcane,6/28/13,1 Pc,50,60,55
718,Ginger,6/28/13,Kg,130,140,135
719,Chilli Dry,6/28/13,Kg,170,180,175
720,Chilli Green,6/28/13,Kg,30,40,35
721,Capsicum,6/28/13,Kg,90,100,95
722,Garlic Green,6/28/13,Kg,45,50,47.5
723,Coriander Green,6/28/13,Kg,50,70,60
724,Garlic Dry Chinese,6/28/13,Kg,90,100,95
725,Garlic Dry Nepali,6/28/13,Kg,50,60,55
726,Clive Dry,6/28/13,Kg,70,80,75
727,Clive Green,6/28/13,Kg,70,80,75
728,Fish Fresh,6/28/13,Kg,210,220,215
729,Tomato Big(Nepali),6/30/13,Kg,25,30,27.5
730,Tomato Small(Local),6/30/13,Kg,18,22,20
731,Potato Red,6/30/13,Kg,23,24,23.5
732,Potato White,6/30/13,Kg,19,20,19.5
733,Onion Dry (Indian),6/30/13,Kg,36,38,37
734,Carrot(Local),6/30/13,Kg,40,45,42.5
735,Cabbage(Local),6/30/13,Kg,12,15,13.5
736,Cauli Local,6/30/13,Kg,30,40,35
737,Raddish Red,6/30/13,Kg,45,50,47.5
738,Raddish White(Local),6/30/13,Kg,25,30,27.5
739,Brinjal Long,6/30/13,Kg,35,40,37.5
740,Brinjal Round,6/30/13,Kg,40,45,42.5
741,Cow pea(Long),6/30/13,Kg,40,45,42.5
742,French Bean(Local),6/30/13,Kg,38,40,39
743,Soyabean Green,6/30/13,Kg,40,45,42.5
744,Bitter Gourd,6/30/13,Kg,28,32,30
745,Bottle Gourd,6/30/13,Kg,30,32,31
746,Pointed Gourd(Local),6/30/13,Kg,30,35,32.5
747,Snake Gourd,6/30/13,Kg,28,30,29
748,Smooth Gourd,6/30/13,Kg,25,30,27.5
749,Sponge Gourd,6/30/13,Kg,40,45,42.5
750,Pumpkin,6/30/13,Kg,16,20,18
751,Squash(Long),6/30/13,Kg,15,18,16.5
752,Okara,6/30/13,Kg,40,45,42.5
753,Arum,6/30/13,Kg,35,40,37.5
754,Christophine,6/30/13,Kg,38,40,39
755,Brd Leaf Mustard,6/30/13,Kg,35,40,37.5
756,Spinach Leaf,6/30/13,Kg,40,45,42.5
757,Cress Leaf,6/30/13,Kg,35,40,37.5
758,Mustard Leaf,6/30/13,Kg,35,40,37.5
759,Fenugreek Leaf,6/30/13,Kg,45,50,47.5
760,Onion Green,6/30/13,Kg,35,40,37.5
761,Mushroom(Kanya),6/30/13,Kg,120,180,150
762,Asparagus,6/30/13,Kg,110,130,120
763,Neuro,6/30/13,Kg,50,60,55
764,Sugarbeet,6/30/13,Kg,35,40,37.5
765,Red Cabbbage,6/30/13,Kg,70,80,75
766,Lettuce,6/30/13,Kg,45,50,47.5
767,Celery,6/30/13,Kg,120,130,125
768,Parseley,6/30/13,Kg,170,180,175
769,Fennel Leaf,6/30/13,Kg,45,50,47.5
770,Mint,6/30/13,Kg,120,130,125
771,Turnip A,6/30/13,Kg,45,50,47.5
772,Maize,6/30/13,1 Pc,5,6,5.5
773,Tamarind,6/30/13,Kg,65,70,67.5
774,Bamboo Shoot,6/30/13,Kg,60,70,65
775,Tofu,6/30/13,Kg,55,60,57.5
776,Gundruk,6/30/13,Kg,180,190,185
777,Apple(Jholey),6/30/13,Kg,110,120,115
778,Banana,6/30/13,Doz,40,50,45
779,Lime,6/30/13,Kg,200,400,300
780,Pomegranate,6/30/13,Kg,220,240,230
781,Mango(Maldah),6/30/13,Kg,50,60,55
782,Water Melon(Green),6/30/13,Kg,24,25,24.5
783,Sweet Orange,6/30/13,Kg,100,110,105
784,Pineapple,6/30/13,1 Pc,70,80,75
785,Cucumber(Local),6/30/13,Kg,28,35,31.5
786,Jack Fruit,6/30/13,Kg,15,20,17.5
787,Sweet Lime,6/30/13,Kg,55,60,57.5
788,Sugarcane,6/30/13,1 Pc,50,60,55
789,Ginger,6/30/13,Kg,130,140,135
790,Chilli Dry,6/30/13,Kg,170,180,175
791,Chilli Green,6/30/13,Kg,40,50,45
792,Capsicum,6/30/13,Kg,80,90,85
793,Garlic Green,6/30/13,Kg,55,60,57.5
794,Garlic Dry Chinese,6/30/13,Kg,90,100,95
795,Garlic Dry Nepali,6/30/13,Kg,50,60,55
796,Clive Dry,6/30/13,Kg,70,80,75
797,Clive Green,6/30/13,Kg,70,80,75
798,Fish Fresh,6/30/13,Kg,210,220,215
799,Tomato Big(Nepali),7/1/13,Kg,25,30,27.5
800,Tomato Small(Local),7/1/13,Kg,15,20,17.5
801,Potato Red,7/1/13,Kg,22,24,23
802,Potato White,7/1/13,Kg,19,20,19.5
803,Onion Dry (Indian),7/1/13,Kg,37,38,37.5
804,Carrot(Local),7/1/13,Kg,45,50,47.5
805,Cabbage(Local),7/1/13,Kg,10,14,12
806,Cauli Local,7/1/13,Kg,30,35,32.5
807,Raddish Red,7/1/13,Kg,45,50,47.5
808,Raddish White(Local),7/1/13,Kg,20,25,22.5
809,Brinjal Long,7/1/13,Kg,35,40,37.5
810,Cow pea(Long),7/1/13,Kg,40,45,42.5
811,French Bean(Local),7/1/13,Kg,38,40,39
812,Soyabean Green,7/1/13,Kg,38,40,39
813,Bitter Gourd,7/1/13,Kg,25,30,27.5
814,Bottle Gourd,7/1/13,Kg,30,35,32.5
815,Pointed Gourd(Local),7/1/13,Kg,30,35,32.5
816,Snake Gourd,7/1/13,Kg,35,40,37.5
817,Smooth Gourd,7/1/13,Kg,20,25,22.5
818,Sponge Gourd,7/1/13,Kg,40,45,42.5
819,Pumpkin,7/1/13,Kg,16,20,18
820,Squash(Long),7/1/13,Kg,15,20,17.5
821,Okara,7/1/13,Kg,40,45,42.5
822,Arum,7/1/13,Kg,28,32,30
823,Christophine,7/1/13,Kg,40,42,41
824,Brd Leaf Mustard,7/1/13,Kg,35,40,37.5
825,Spinach Leaf,7/1/13,Kg,40,45,42.5
826,Cress Leaf,7/1/13,Kg,40,45,42.5
827,Mustard Leaf,7/1/13,Kg,35,40,37.5
828,Fenugreek Leaf,7/1/13,Kg,40,45,42.5
829,Onion Green,7/1/13,Kg,35,40,37.5
830,Mushroom(Kanya),7/1/13,Kg,160,180,170
831,Asparagus,7/1/13,Kg,120,130,125
832,Neuro,7/1/13,Kg,50,60,55
833,Sugarbeet,7/1/13,Kg,35,40,37.5
834,Red Cabbbage,7/1/13,Kg,60,70,65
835,Lettuce,7/1/13,Kg,50,60,55
836,Celery,7/1/13,Kg,120,130,125
837,Parseley,7/1/13,Kg,170,180,175
838,Fennel Leaf,7/1/13,Kg,40,45,42.5
839,Mint,7/1/13,Kg,120,130,125
840,Turnip A,7/1/13,Kg,45,50,47.5
841,Maize,7/1/13,1 Pc,5,7,6
842,Tamarind,7/1/13,Kg,65,70,67.5
843,Bamboo Shoot,7/1/13,Kg,50,60,55
844,Tofu,7/1/13,Kg,55,60,57.5
845,Gundruk,7/1/13,Kg,180,190,185
846,Apple(Jholey),7/1/13,Kg,110,120,115
847,Banana,7/1/13,Doz,40,50,45
848,Lime,7/1/13,Kg,200,400,300
849,Pomegranate,7/1/13,Kg,200,210,205
850,Mango(Maldah),7/1/13,Kg,50,60,55
851,Grapes(Green),7/1/13,Kg,250,260,255
852,Water Melon(Green),7/1/13,Kg,20,25,22.5
853,Sweet Orange,7/1/13,Kg,100,110,105
854,Pineapple,7/1/13,1 Pc,60,70,65
855,Cucumber(Local),7/1/13,Kg,25,30,27.5
856,Jack Fruit,7/1/13,Kg,15,20,17.5
857,Papaya(Nepali),7/1/13,Kg,55,60,57.5
858,Sugarcane,7/1/13,1 Pc,50,60,55
859,Ginger,7/1/13,Kg,140,150,145
860,Chilli Dry,7/1/13,Kg,170,180,175
861,Chilli Green,7/1/13,Kg,40,50,45
862,Capsicum,7/1/13,Kg,80,90,85
863,Garlic Green,7/1/13,Kg,40,45,42.5
864,Coriander Green,7/1/13,Kg,60,70,65
865,Garlic Dry Chinese,7/1/13,Kg,90,100,95
866,Clive Dry,7/1/13,Kg,70,80,75
867,Clive Green,7/1/13,Kg,50,60,55
868,Fish Fresh,7/1/13,Kg,210,225,217.5
869,Tomato Big(Nepali),7/2/13,Kg,30,35,32.5
870,Tomato Small(Local),7/2/13,Kg,15,20,17.5
871,Potato Red,7/2/13,Kg,23,24,23.5
872,Potato White,7/2/13,Kg,18,20,19
873,Onion Dry (Indian),7/2/13,Kg,38,40,39
874,Carrot(Local),7/2/13,Kg,45,50,47.5
875,Cabbage(Local),7/2/13,Kg,10,14,12
876,Cauli Local,7/2/13,Kg,25,30,27.5
877,Raddish White(Local),7/2/13,Kg,30,35,32.5
878,Brinjal Long,7/2/13,Kg,30,35,32.5
879,Cow pea(Long),7/2/13,Kg,40,50,45
880,French Bean(Local),7/2/13,Kg,35,40,37.5
881,Soyabean Green,7/2/13,Kg,35,40,37.5
882,Bitter Gourd,7/2/13,Kg,25,30,27.5
883,Bottle Gourd,7/2/13,Kg,35,40,37.5
884,Pointed Gourd(Local),7/2/13,Kg,28,32,30
885,Snake Gourd,7/2/13,Kg,30,35,32.5
886,Smooth Gourd,7/2/13,Kg,25,30,27.5
887,Sponge Gourd,7/2/13,Kg,40,45,42.5
888,Pumpkin,7/2/13,Kg,16,20,18
889,Squash(Long),7/2/13,Kg,30,35,32.5
890,Okara,7/2/13,Kg,38,42,40
891,Arum,7/2/13,Kg,28,30,29
892,Christophine,7/2/13,Kg,40,45,42.5
893,Brd Leaf Mustard,7/2/13,Kg,35,40,37.5
894,Spinach Leaf,7/2/13,Kg,40,45,42.5
895,Cress Leaf,7/2/13,Kg,40,45,42.5
896,Mustard Leaf,7/2/13,Kg,35,40,37.5
897,Fenugreek Leaf,7/2/13,Kg,40,45,42.5
898,Onion Green,7/2/13,Kg,35,40,37.5
899,Mushroom(Kanya),7/2/13,Kg,170,180,175
900,Asparagus,7/2/13,Kg,120,130,125
901,Neuro,7/2/13,Kg,50,60,55
902,Sugarbeet,7/2/13,Kg,35,40,37.5
903,Red Cabbbage,7/2/13,Kg,70,80,75
904,Lettuce,7/2/13,Kg,45,50,47.5
905,Celery,7/2/13,Kg,120,130,125
906,Parseley,7/2/13,Kg,170,180,175
907,Fennel Leaf,7/2/13,Kg,45,50,47.5
908,Mint,7/2/13,Kg,120,130,125
909,Turnip A,7/2/13,Kg,45,50,47.5
910,Tamarind,7/2/13,Kg,70,80,75
911,Bamboo Shoot,7/2/13,Kg,60,550,305
912,Tofu,7/2/13,Kg,55,60,57.5
913,Gundruk,7/2/13,Kg,180,190,185
914,Apple(Jholey),7/2/13,Kg,110,130,120
915,Banana,7/2/13,Doz,40,50,45
916,Lime,7/2/13,Kg,200,400,300
917,Pomegranate,7/2/13,Kg,200,210,205
918,Mango(Maldah),7/2/13,Kg,50,60,55
919,Grapes(Green),7/2/13,Kg,230,250,240
920,Water Melon(Green),7/2/13,Kg,22,25,23.5
921,Sweet Orange,7/2/13,Kg,90,100,95
922,Pineapple,7/2/13,1 Pc,70,80,75
923,Cucumber(Local),7/2/13,Kg,30,35,32.5
924,Jack Fruit,7/2/13,Kg,20,150,85
925,Papaya(Nepali),7/2/13,Kg,55,60,57.5
926,Sugarcane,7/2/13,1 Pc,50,60,55
927,Ginger,7/2/13,Kg,150,160,155
928,Chilli Dry,7/2/13,Kg,170,180,175
929,Chilli Green,7/2/13,Kg,28,30,29
930,Capsicum,7/2/13,Kg,80,90,85
931,Garlic Green,7/2/13,Kg,35,40,37.5
932,Coriander Green,7/2/13,Kg,60,70,65
933,Garlic Dry Chinese,7/2/13,Kg,90,100,95
934,Garlic Dry Nepali,7/2/13,Kg,50,60,55
935,Clive Dry,7/2/13,Kg,70,80,75
936,Clive Green,7/2/13,Kg,45,50,47.5
937,Fish Fresh,7/2/13,Kg,210,225,217.5
938,Tomato Big(Nepali),7/3/13,Kg,30,35,32.5
939,Tomato Small(Local),7/3/13,Kg,14,18,16
940,Potato Red,7/3/13,Kg,22,23,22.5
941,Potato White,7/3/13,Kg,18,19,18.5
942,Onion Dry (Indian),7/3/13,Kg,40,42,41
943,Carrot(Local),7/3/13,Kg,45,50,47.5
944,Cabbage(Local),7/3/13,Kg,10,12,11
945,Cauli Local,7/3/13,Kg,40,45,42.5
946,Raddish White(Local),7/3/13,Kg,25,30,27.5
947,Brinjal Long,7/3/13,Kg,35,40,37.5
948,Brinjal Round,7/3/13,Kg,45,50,47.5
949,Cow pea(Long),7/3/13,Kg,40,50,45
950,French Bean(Local),7/3/13,Kg,35,40,37.5
951,Soyabean Green,7/3/13,Kg,35,40,37.5
952,Bitter Gourd,7/3/13,Kg,25,30,27.5
953,Bottle Gourd,7/3/13,Kg,35,40,37.5
954,Pointed Gourd(Local),7/3/13,Kg,28,32,30
955,Snake Gourd,7/3/13,Kg,30,35,32.5
956,Smooth Gourd,7/3/13,Kg,20,25,22.5
957,Sponge Gourd,7/3/13,Kg,40,45,42.5
958,Pumpkin,7/3/13,Kg,16,20,18
959,Squash(Long),7/3/13,Kg,35,40,37.5
960,Okara,7/3/13,Kg,40,45,42.5
961,Arum,7/3/13,Kg,28,30,29
962,Christophine,7/3/13,Kg,35,45,40
963,Brd Leaf Mustard,7/3/13,Kg,35,40,37.5
964,Spinach Leaf,7/3/13,Kg,40,45,42.5
965,Cress Leaf,7/3/13,Kg,40,45,42.5
966,Mustard Leaf,7/3/13,Kg,30,35,32.5
967,Fenugreek Leaf,7/3/13,Kg,35,40,37.5
968,Onion Green,7/3/13,Kg,35,40,37.5
969,Mushroom(Kanya),7/3/13,Kg,170,180,175
970,Asparagus,7/3/13,Kg,120,130,125
971,Neuro,7/3/13,Kg,50,60,55
972,Sugarbeet,7/3/13,Kg,55,60,57.5
973,Red Cabbbage,7/3/13,Kg,60,70,65
974,Lettuce,7/3/13,Kg,40,45,42.5
975,Celery,7/3/13,Kg,120,130,125
976,Parseley,7/3/13,Kg,170,180,175
977,Fennel Leaf,7/3/13,Kg,40,45,42.5
978,Mint,7/3/13,Kg,120,130,125
979,Turnip A,7/3/13,Kg,45,50,47.5
980,Tamarind,7/3/13,Kg,70,80,75
981,Bamboo Shoot,7/3/13,Kg,60,70,65
982,Tofu,7/3/13,Kg,55,60,57.5
983,Gundruk,7/3/13,Kg,180,190,185
984,Apple(Jholey),7/3/13,Kg,110,120,115
985,Banana,7/3/13,Doz,40,50,45
986,Lime,7/3/13,Kg,200,400,300
987,Pomegranate,7/3/13,Kg,200,220,210
988,Mango(Maldah),7/3/13,Kg,50,60,55
989,Grapes(Green),7/3/13,Kg,250,260,255
990,Water Melon(Green),7/3/13,Kg,20,25,22.5
991,Sweet Orange,7/3/13,Kg,100,110,105
992,Pineapple,7/3/13,1 Pc,60,70,65
993,Cucumber(Local),7/3/13,Kg,30,35,32.5
994,Jack Fruit,7/3/13,Kg,15,20,17.5
995,Papaya(Nepali),7/3/13,Kg,55,60,57.5
996,Sugarcane,7/3/13,1 Pc,50,60,55
997,Ginger,7/3/13,Kg,150,160,155
998,Chilli Dry,7/3/13,Kg,170,180,175
999,Chilli Green,7/3/13,Kg,25,30,27.5
1000,Capsicum,7/3/13,Kg,90,100,95
1001,Garlic Green,7/3/13,Kg,35,40,37.5
1002,Coriander Green,7/3/13,Kg,60,70,65
1003,Garlic Dry Chinese,7/3/13,Kg,90,100,95
1004,Garlic Dry Nepali,7/3/13,Kg,50,60,55
1005,Clive Dry,7/3/13,Kg,70,80,75
1006,Clive Green,7/3/13,Kg,50,60,55
1007,Fish Fresh,7/3/13,Kg,210,225,217.5
1008,Tomato Big(Nepali),7/4/13,Kg,30,35,32.5
1009,Tomato Small(Local),7/4/13,Kg,14,18,16
1010,Potato Red,7/4/13,Kg,23,24,23.5
1011,Potato White,7/4/13,Kg,18,19,18.5
1012,Onion Dry (Indian),7/4/13,Kg,40,42,41
1013,Carrot(Local),7/4/13,Kg,45,50,47.5
1014,Cabbage(Local),7/4/13,Kg,12,16,14
1015,Cauli Local,7/4/13,Kg,40,45,42.5
1016,Raddish White(Local),7/4/13,Kg,25,30,27.5
1017,Brinjal Long,7/4/13,Kg,35,40,37.5
1018,Brinjal Round,7/4/13,Kg,45,50,47.5
1019,Cow pea(Long),7/4/13,Kg,40,50,45
1020,French Bean(Local),7/4/13,Kg,35,40,37.5
1021,Soyabean Green,7/4/13,Kg,35,40,37.5
1022,Bitter Gourd,7/4/13,Kg,25,30,27.5
1023,Bottle Gourd,7/4/13,Kg,35,40,37.5
1024,Pointed Gourd(Local),7/4/13,Kg,30,35,32.5
1025,Snake Gourd,7/4/13,Kg,30,32,31
1026,Smooth Gourd,7/4/13,Kg,25,30,27.5
1027,Sponge Gourd,7/4/13,Kg,40,45,42.5
1028,Pumpkin,7/4/13,Kg,16,20,18
1029,Squash(Long),7/4/13,Kg,35,40,37.5
1030,Okara,7/4/13,Kg,40,44,42
1031,Arum,7/4/13,Kg,28,30,29
1032,Christophine,7/4/13,Kg,40,45,42.5
1033,Brd Leaf Mustard,7/4/13,Kg,35,40,37.5
1034,Spinach Leaf,7/4/13,Kg,40,45,42.5
1035,Cress Leaf,7/4/13,Kg,40,45,42.5
1036,Mustard Leaf,7/4/13,Kg,35,40,37.5
1037,Fenugreek Leaf,7/4/13,Kg,40,45,42.5
1038,Onion Green,7/4/13,Kg,35,40,37.5
1039,Mushroom(Kanya),7/4/13,Kg,170,180,175
1040,Asparagus,7/4/13,Kg,120,130,125
1041,Neuro,7/4/13,Kg,50,60,55
